decimalLatitude,decimalLongitude,locationID_short,locationID,clusterID_num,clusterID.x,clusterID.y
-14.650928,145.638471,NONA,NONA_80,212,NA,NONA_5
-14.650926,145.638278,NONA,NONA_81,212,NA,NONA_5
-14.65092528,145.6392295,NONA,NONA_82,215,NA,NONA_8
-14.65092226,145.6384919,NONA,NONA_83,212,NA,NONA_5
-14.650922,145.638477,NONA,NONA_84,212,NA,NONA_5
-14.650919,145.63845800000001,NONA,NONA_85,212,NA,NONA_5
-14.65091765,145.6392311,NONA,NONA_86,215,NA,NONA_8
-14.650916,145.638216,NONA,NONA_87,212,NA,NONA_5
-14.650912,145.638227,NONA,NONA_88,212,NA,NONA_5
-14.650911,145.638238,NONA,NONA_89,212,NA,NONA_5
-14.65091,145.638211,NONA,NONA_90,212,NA,NONA_5
-14.65091,145.638233,NONA,NONA_91,212,NA,NONA_5
-14.65090784,145.6382346,NONA,NONA_92,212,NA,NONA_5
-14.650905,145.638249,NONA,NONA_93,212,NA,NONA_5
-14.65090424,145.6384812,NONA,NONA_94,212,NA,NONA_5
-14.65090122,145.6385152,NONA,NONA_95,212,NA,NONA_5
-14.65089,145.638455,NONA,NONA_96,212,NA,NONA_5
-14.65088965,145.638275,NONA,NONA_97,212,NA,NONA_5
-14.65088815,145.6384346,NONA,NONA_98,212,NA,NONA_5
-14.65088605,145.6387328,NONA,NONA_99,214,NA,NONA_7
-14.650885,145.638248,NONA,NONA_100,212,NA,NONA_5
-14.65088421,145.6385167,NONA,NONA_101,212,NA,NONA_5
-14.65088219,145.6385087,NONA,NONA_102,212,NA,NONA_5
-14.65088,145.638513,NONA,NONA_103,212,NA,NONA_5
-14.65087457,145.6382488,NONA,NONA_104,212,NA,NONA_5
-14.6508697,145.6385142,NONA,NONA_105,212,NA,NONA_5
-14.65086895,145.6383494,NONA,NONA_106,212,NA,NONA_5
-14.65086769,145.6383056,NONA,NONA_107,212,NA,NONA_5
-14.65086241,145.6383748,NONA,NONA_108,212,NA,NONA_5
-14.65086,145.638305,NONA,NONA_109,212,NA,NONA_5
-14.650855,145.638471,NONA,NONA_110,212,NA,NONA_5
-14.65085395,145.6381966,NONA,NONA_111,212,NA,NONA_5
-14.650853,145.638456,NONA,NONA_112,212,NA,NONA_5
-14.65085286,145.6393053,NONA,NONA_113,215,NA,NONA_8
-14.650851,145.638511,NONA,NONA_114,212,NA,NONA_5
-14.65083861,145.6392903,NONA,NONA_115,215,NA,NONA_8
-14.65083743,145.6385368,NONA,NONA_116,212,NA,NONA_5
-14.650834,145.6384836,NONA,NONA_117,212,NA,NONA_5
-14.65082838,145.6385369,NONA,NONA_118,212,NA,NONA_5
-14.650828,145.638419,NONA,NONA_119,212,NA,NONA_5
-14.65082629,145.6382504,NONA,NONA_120,212,NA,NONA_5
-14.65082461,145.638413,NONA,NONA_121,212,NA,NONA_5
-14.65082251,145.6382101,NONA,NONA_122,212,NA,NONA_5
-14.65081288,145.6384807,NONA,NONA_123,212,NA,NONA_5
-14.650802,145.63836,NONA,NONA_124,212,NA,NONA_5
-14.65078865,145.6382049,NONA,NONA_125,212,NA,NONA_5
-14.65078144,145.6393708,NONA,NONA_126,215,NA,NONA_8
-14.65076476,145.6383714,NONA,NONA_127,212,NA,NONA_5
-14.65075387,145.6383759,NONA,NONA_128,212,NA,NONA_5
-14.6507314,145.6394299,NONA,NONA_129,215,NA,NONA_8
-14.6506506,145.6387634,NONA,NONA_130,216,NONA_9,NONA_9
-14.65062336,145.6394039,NONA,NONA_131,217,NA,NONA_10
-14.65061121,145.638905,NONA,NONA_132,218,NONA_11,NONA_11
-14.65059369,145.6394033,NONA,NONA_133,217,NA,NONA_10
-14.65046075,145.6391821,NONA,NONA_134,219,NONA_12,NONA_12
-18.67084723,147.7065797,OCCH,OCCH_1,220,OCCH_1,OCCH_1
-18.67074472,147.7066244,OCCH,OCCH_2,221,OCCH_2,OCCH_2
-18.67061086,147.7066658,OCCH,OCCH_3,222,NA,OCCH_3
-18.67059829,147.7065983,OCCH,OCCH_4,222,NA,OCCH_3
-18.67059183,147.7066432,OCCH,OCCH_5,222,NA,OCCH_3
-18.67057859,147.7066071,OCCH,OCCH_6,222,NA,OCCH_3
-18.67055152,147.7067028,OCCH,OCCH_7,222,NA,OCCH_3
-18.67054733,147.7067148,OCCH,OCCH_8,222,NA,OCCH_3
-18.67052176,147.7067376,OCCH,OCCH_9,222,NA,OCCH_3
-18.6705081,147.7063129,OCCH,OCCH_10,222,NA,OCCH_3
-18.67050039,147.7069122,OCCH,OCCH_11,222,NA,OCCH_3
-18.67049863,147.7065465,OCCH,OCCH_12,222,NA,OCCH_3
-18.67048664,147.7063112,OCCH,OCCH_13,222,NA,OCCH_3
-18.67048346,147.7063299,OCCH,OCCH_14,222,NA,OCCH_3
-18.67046719,147.7062929,OCCH,OCCH_15,222,NA,OCCH_3
-18.67045563,147.7063281,OCCH,OCCH_16,222,NA,OCCH_3
-18.67044917,147.7062928,OCCH,OCCH_17,222,NA,OCCH_3
-18.67043727,147.7068578,OCCH,OCCH_18,222,NA,OCCH_3
-18.67043249,147.7066702,OCCH,OCCH_19,222,NA,OCCH_3
-18.67043199,147.7064835,OCCH,OCCH_20,222,NA,OCCH_3
-18.67043057,147.7064718,OCCH,OCCH_21,222,NA,OCCH_3
-18.67042922,147.7065433,OCCH,OCCH_22,222,NA,OCCH_3
-18.67042897,147.7063577,OCCH,OCCH_23,222,NA,OCCH_3
-18.67042788,147.7063333,OCCH,OCCH_24,222,NA,OCCH_3
-18.67042554,147.7063247,OCCH,OCCH_25,222,NA,OCCH_3
-18.67041858,147.7063558,OCCH,OCCH_26,222,NA,OCCH_3
-18.67041648,147.7067609,OCCH,OCCH_27,222,NA,OCCH_3
-18.67040483,147.7062572,OCCH,OCCH_28,222,NA,OCCH_3
-18.67040148,147.7068001,OCCH,OCCH_29,222,NA,OCCH_3
-18.67039494,147.7068034,OCCH,OCCH_30,222,NA,OCCH_3
-18.67039218,147.7067407,OCCH,OCCH_31,222,NA,OCCH_3
-18.67037927,147.706492,OCCH,OCCH_32,222,NA,OCCH_3
-18.67037365,147.7067122,OCCH,OCCH_33,222,NA,OCCH_3
-18.67036837,147.7065098,OCCH,OCCH_34,222,NA,OCCH_3
-18.67035991,147.7064092,OCCH,OCCH_35,222,NA,OCCH_3
-18.67035479,147.7067572,OCCH,OCCH_36,222,NA,OCCH_3
-18.67034809,147.7067818,OCCH,OCCH_37,222,NA,OCCH_3
-18.67030023,147.7064108,OCCH,OCCH_38,222,NA,OCCH_3
-18.67025857,147.7063633,OCCH,OCCH_39,222,NA,OCCH_3
-18.670243,147.707176,OCCH,OCCH_40,223,NA,OCCH_4
-18.67020643,147.706589,OCCH,OCCH_41,224,NA,OCCH_5
-18.670196,147.707095,OCCH,OCCH_42,223,NA,OCCH_4
-18.67018204,147.7063997,OCCH,OCCH_43,222,NA,OCCH_3
-18.67017936,147.7065452,OCCH,OCCH_44,224,NA,OCCH_5
-18.670177,147.707149,OCCH,OCCH_45,223,NA,OCCH_4
-18.6701584,147.7067162,OCCH,OCCH_46,224,NA,OCCH_5
-18.67015723,147.7066848,OCCH,OCCH_47,224,NA,OCCH_5
-18.67014432,147.7067061,OCCH,OCCH_48,224,NA,OCCH_5
-18.670143,147.707036,OCCH,OCCH_49,223,NA,OCCH_4
-18.67011314,147.7067657,OCCH,OCCH_50,224,NA,OCCH_5
-18.67010778,147.7067678,OCCH,OCCH_51,224,NA,OCCH_5
-18.67010409,147.7072681,OCCH,OCCH_52,225,NA,OCCH_6
-18.67010065,147.70676219999999,OCCH,OCCH_53,224,NA,OCCH_5
-18.67008221,147.7066505,OCCH,OCCH_54,224,NA,OCCH_5
-18.67007861,147.7064041,OCCH,OCCH_55,222,NA,OCCH_3
-18.67007819,147.7064511,OCCH,OCCH_56,222,NA,OCCH_3
-18.670077,147.707496,OCCH,OCCH_57,225,NA,OCCH_6
-18.670071,147.707474,OCCH,OCCH_58,225,NA,OCCH_6
-18.67007,147.707542,OCCH,OCCH_59,225,NA,OCCH_6
-18.670069,147.707557,OCCH,OCCH_60,225,NA,OCCH_6
-18.6700657,147.706381,OCCH,OCCH_61,222,NA,OCCH_3
