decimalLatitude,decimalLongitude,locationID_short,locationID,clusterID_num,clusterID.x,clusterID.y,clusterID.x.x,clusterID.y.y,clusterID
-18.423651,146.985782,KELS,KELS_83,38,NA,NA,KELS_8,NA,KELS_1
-18.42364848,146.9853339,KELS,KELS_84,38,NA,NA,KELS_8,NA,KELS_1
-18.42364454,146.9855722,KELS,KELS_85,38,NA,NA,KELS_8,NA,KELS_1
-18.423635,146.98576,KELS,KELS_86,38,NA,NA,KELS_8,NA,KELS_1
-18.423619,146.985512,KELS,KELS_87,38,NA,NA,KELS_8,NA,KELS_1
-18.42361797,146.986074,KELS,KELS_88,38,NA,NA,KELS_17,NA,KELS_1
-18.4236,146.985772,KELS,KELS_89,38,NA,NA,KELS_8,NA,KELS_1
-18.423594,146.985813,KELS,KELS_90,38,NA,NA,KELS_8,NA,KELS_1
-18.42359274,146.98615,KELS,KELS_91,38,NA,NA,KELS_17,NA,KELS_1
-18.42359,146.985776,KELS,KELS_92,38,NA,NA,KELS_8,NA,KELS_1
-18.423585,146.9855,KELS,KELS_93,38,NA,NA,KELS_8,NA,KELS_1
-18.42358452,146.9862392,KELS,KELS_94,38,NA,NA,KELS_17,NA,KELS_1
-18.42358243,146.986242,KELS,KELS_95,38,NA,NA,KELS_17,NA,KELS_1
-18.42356,146.98547,KELS,KELS_96,38,NA,NA,KELS_8,NA,KELS_1
-18.4235598,146.9861253,KELS,KELS_97,38,NA,NA,KELS_17,NA,KELS_1
-18.423547,146.985886,KELS,KELS_98,38,NA,NA,KELS_8,NA,KELS_1
-18.423537,146.985415,KELS,KELS_99,38,NA,NA,KELS_8,NA,KELS_1
-18.423533,146.985435,KELS,KELS_100,38,NA,NA,KELS_8,NA,KELS_1
-18.4235318,146.9858669,KELS,KELS_101,38,NA,NA,KELS_8,NA,KELS_1
-18.42351973,146.9863096,KELS,KELS_102,38,NA,NA,KELS_17,NA,KELS_1
-18.423518,146.985415,KELS,KELS_103,38,NA,NA,KELS_8,NA,KELS_1
-18.423476,146.985313,KELS,KELS_104,38,NA,NA,KELS_8,NA,KELS_1
-18.42345661,146.986001,KELS,KELS_105,38,NA,NA,KELS_18,NA,KELS_1
-18.423453,146.98532,KELS,KELS_106,38,NA,NA,KELS_8,NA,KELS_1
-18.42344865,146.9860694,KELS,KELS_107,38,NA,NA,KELS_18,NA,KELS_1
-18.423446,146.985313,KELS,KELS_108,38,NA,NA,KELS_8,NA,KELS_1
-18.42344446,146.9860042,KELS,KELS_109,38,NA,NA,KELS_18,NA,KELS_1
-18.423423,146.98532,KELS,KELS_110,38,NA,NA,KELS_8,NA,KELS_1
-18.42340616,146.9843048,KELS,KELS_111,40,KELS_19,KELS_19,KELS_19,KELS_3,KELS_3
-18.4233821,146.9853064,KELS,KELS_112,38,NA,NA,KELS_8,NA,KELS_1
-18.423375,146.985339,KELS,KELS_113,38,NA,NA,KELS_8,NA,KELS_1
